CalDateValue,JourneyRef,VehicleRef,Driver
20201101,427013,8808,171-1111
20201101,127016,8762,171-1111
20201101,447005,8807,171-1111
20201101,107016,1702,170-1111
20201101,147011,8828,171-1111
20201101,207012,8742,171-1111
20201101,207011,8743,171-1111
20201101,407011,8735,171-1111
20201101,727007,1633,170-1111
20201101,417006,8796,171-1111
20201101,137012,8838,171-1111
20201101,227016,8847,171-1111
20201101,257015,8722,171-1111
20201101,127015,8770,171-1111
20201101,237015,1617,170-1111
20201101,707012,1778,170-1111
20201101,467007,1603,170-1111
20201101,217011,8811,171-1111
20201101,457017,8812,171-1111
20201101,147020,8872,171-1111
20201101,27025,1568,170-1111
20201101,427018,8817,171-1111
20201101,237014,1616,170-1111
20201101,287012,8815,171-1111
20201101,17023,1575,170-1111
20201101,147022,8854,171-1111
20201101,27022,1571,170-1111
20201101,107020,1696,170-1111
20201101,107013,1696,170-1111
20201101,17024,1569,170-1111
20201101,107017,1700,170-1111
20201101,37026,8705,171-1111
20201101,747006,1862,170-1111
20201101,37023,8714,171-1111
20201101,457018,8813,171-1111
20201101,797004,8814,171-1111
20201101,707009,1776,170-1111
20201101,107018,1703,170-1111
20201101,147013,8826,171-1111
20201101,27027,1565,170-1111
20201101,137011,8865,171-1111
20201101,227017,8829,171-1111
20201101,117017,8830,171-1111
20201101,407013,8721,171-1111
20201101,227018,8837,171-1111
20201101,127018,8761,171-1111
20201101,407020,8735,171-1111
20201101,267007,8803,171-1111
20201101,17026,1553,170-1111
20201101,117018,8869,171-1111
20201101,257020,8740,171-1111
20201101,427015,8817,171-1111
20201101,267010,8810,171-1111
20201101,827016,1873,170-1111
20201101,127017,8767,171-1111
20201101,417011,8796,171-1111
20201101,207013,8727,171-1111
20201101,437005,8789,171-1111
20201101,427020,8808,171-1111
20201101,237017,1600,170-1111
20201101,27024,1535,170-1111
20201101,457019,8816,171-1111
20201101,237016,1596,170-1111
20201101,17025,1561,170-1111
20201101,457020,8812,171-1111
20201101,707014,1782,170-1111
20201101,257017,8736,171-1111
20201101,407022,8721,171-1111
20201101,107019,1701,170-1111
20201101,207014,8737,171-1111
20201101,467004,1603,170-1111
20201101,707011,1772,170-1111
20201101,107025,1696,170-1111
20201101,107020,1696,170-1111
20201101,427017,8807,171-1111
20201101,797007,8814,171-1111
20201101,37025,8707,171-1111
20201101,437006,8789,171-1111
20201101,147015,8868,171-1111
20201101,227020,8827,171-1111
20201101,227019,8841,171-1111
20201101,117019,8856,171-1111
20201101,417008,8806,171-1111
20201101,127020,8764,171-1111
20201101,727006,1633,170-1111
20201101,407015,8735,171-1111
20201101,827019,1873,170-1111
20201101,137014,8833,171-1111
20201101,447004,8796,171-1111
20201101,287013,8815,171-1111
20201101,787004,1636,170-1111
20201101,267012,8803,171-1111
20201101,117020,8864,171-1111
20201101,257022,8744,171-1111
20201101,17027,1577,170-1111
20201101,37028,8713,171-1111
20201101,167007,1602,170-1111
20201101,217014,8811,171-1111
20201101,127019,8762,171-1111
20201101,747005,1862,170-1111
20201101,257019,8724,171-1111
20201101,17028,1570,170-1111
20201101,237019,1616,170-1111
20201101,427022,8817,171-1111
20201101,117021,8866,171-1111
20201101,137013,8838,171-1111
20201101,457021,8813,171-1111
20201101,237018,1617,170-1111
20201101,27026,1573,170-1111
20201101,147024,8828,171-1111
20201101,167008,2162,170-1111
20201101,267009,8810,171-1111
20201101,27029,1549,170-1111
20201101,427024,8807,171-1111
20201101,107021,1702,170-1111
20201101,147017,8872,171-1111
20201101,107022,1699,170-1111
20201101,457022,8816,171-1111
20201101,37027,8708,171-1111
20201101,757002,1638,170-1111
20201101,207016,8743,171-1111
20201101,227021,8847,171-1111
20201101,127021,8761,171-1111
20201101,417013,8806,171-1111
20201101,407017,8721,171-1111
20201101,127022,8770,171-1111
20201101,207015,8742,171-1111
20201101,117022,8836,171-1111
20201101,147019,8854,171-1111
20201101,407024,8735,171-1111
20201101,427019,8808,171-1111
20201101,457023,8812,171-1111
20201101,727009,1633,170-1111
20201101,17030,1575,170-1111
20201101,447007,8796,171-1111
20201101,227023,8837,171-1111
20201101,227022,8829,171-1111
20201101,777004,1635,170-1111
20201101,707016,1776,170-1111
20201101,37029,8705,171-1111
20201101,467009,1603,170-1111
20201101,217015,8811,171-1111
20201101,437007,8789,171-1111
20201101,237021,1596,170-1111
20201101,257024,8722,171-1111
20201101,237020,1600,170-1111
20201101,287016,8815,171-1111
20201101,27030,1568,170-1111
20201101,27028,1534,170-1111
20201101,147026,8826,171-1111
20201101,37030,8714,171-1111
20201101,17029,1557,170-1111
20201101,257021,8740,171-1111
20201101,747008,1862,170-1111
20201101,427026,8808,171-1111
20201101,137016,8865,171-1111
20201101,107023,1703,170-1111
20201101,417010,8796,171-1111
20201101,457024,8813,171-1111
20201101,437008,8789,171-1111
20201101,107024,1700,170-1111
20201101,707013,1778,170-1111
20201101,797006,8814,171-1111
20201101,137015,8833,171-1111
20201101,427021,8807,171-1111
20201101,787003,1636,170-1111
20201101,117023,8869,171-1111
20201101,27031,1571,170-1111
20201101,407026,8721,171-1111
20201101,127024,8767,171-1111
20201101,407019,8735,171-1111
20201101,267011,8803,171-1111
20201101,117024,8830,171-1111
20201101,257026,8736,171-1111
20201101,267014,8810,171-1111
20201101,227024,8841,171-1111
20201101,227025,8827,171-1111
20201101,147028,8868,171-1111
20201101,127023,8764,171-1111
20201101,17031,1569,170-1111
20201101,827024,1873,170-1111
20201101,237023,1617,170-1111
20201101,147021,8828,171-1111
20201101,237022,1616,170-1111
20201101,457025,8816,171-1111
20201101,207017,8737,171-1111
20201101,37032,8707,171-1111
20201101,207018,8727,171-1111
20201101,707018,1772,170-1111
20201101,457026,8812,171-1111
20201101,427028,8807,171-1111
20201101,467006,1603,170-1111
20201101,37031,8713,171-1111
20201101,257023,8744,171-1111
20201101,797009,8814,171-1111
20201101,17032,1561,170-1111
20201101,707015,1782,170-1111
20201101,107026,1701,170-1111
20201101,427023,8808,171-1111
20201101,107025,1696,170-1111
20201101,117025,8864,171-1111
20201101,27033,1535,170-1111
20201101,727008,1633,170-1111
20201101,407021,8721,171-1111
20201101,127026,8762,171-1111
20201101,757003,1638,170-1111
20201101,137018,8838,171-1111
20201101,117028,8866,171-1111
20201101,827027,1873,170-1111
20201101,747007,1862,170-1111
20201101,227026,8847,171-1111
20201101,407028,8735,171-1111
20201101,287017,8815,171-1111
20201101,117026,8856,171-1111
20201101,127025,8770,171-1111
20201101,237025,1600,170-1111
20201101,447006,8806,171-1111
20201101,417015,8817,171-1111
20201101,167009,2162,170-1111
20201101,777003,1635,170-1111
20201101,217018,8811,171-1111
20201101,17034,1577,170-1111
20201101,437009,8789,171-1111
20201101,147030,8872,171-1111
20201101,257028,8724,171-1111
20201101,137017,8865,171-1111
20201101,227027,8829,171-1111
20201101,457027,8813,171-1111
20201101,237024,1596,170-1111
20201101,27032,1565,170-1111
20201101,17033,1553,170-1111
20201101,167010,1602,170-1111
20201101,37034,8708,171-1111
20201101,147032,8854,171-1111
20201101,27034,1549,170-1111
20201101,117027,8836,171-1111
20201101,267013,8810,171-1111
20201101,257025,8722,171-1111
20201101,37033,8714,171-1111
20201101,457028,8816,171-1111
20201101,437010,8789,171-1111
20201101,427030,8808,171-1111
20201101,427025,8807,171-1111
20201101,107028,1702,170-1111
20201101,147023,8826,171-1111
20201101,127028,8761,171-1111
20201101,107027,1699,170-1111
20201101,447009,8806,171-1111
20201101,417012,8817,171-1111
20201101,27035,1573,170-1111
20201101,207020,8742,171-1111
20201101,207019,8743,171-1111
20201101,407023,8735,171-1111
20201101,407030,8721,171-1111
20201101,467011,1603,170-1111
20201101,17036,1557,170-1111
20201101,707020,1778,170-1111
20201101,227028,8837,171-1111
20201101,257027,8736,171-1111
20201101,127027,8767,171-1111
20201101,237027,1616,170-1111
20201101,257030,8740,171-1111
20201101,457029,8812,171-1111
20201101,287020,8815,171-1111
20201101,237026,1617,170-1111
20201101,17035,1570,170-1111
20201101,217019,8811,171-1111
20201101,107030,1703,170-1111
20201101,37036,8705,171-1111
20201101,727011,1633,170-1111
20201101,137019,8838,171-1111
20201101,137020,8833,171-1111
20201101,27037,1534,170-1111
20201101,427032,8807,171-1111
20201101,117030,8869,171-1111
20201101,797008,8814,171-1111
20201101,37035,8707,171-1111
20201101,457030,8813,171-1111
20201101,747010,1862,170-1111
20201101,707017,1776,170-1111
20201101,147025,8868,171-1111
20201101,417017,8817,171-1111
20201101,107029,1700,170-1111
20201101,227029,8841,171-1111
20201101,117029,8830,171-1111
20201101,27039,1568,170-1111
20201101,227030,8827,171-1111
20201101,127030,8764,171-1111
20201101,427027,8808,171-1111
20201101,407025,8721,171-1111
20201101,787006,1636,170-1111
20201101,407032,8735,171-1111
20201101,257032,8744,171-1111
20201101,257029,8724,171-1111
20201101,127029,8762,171-1111
20201101,147034,8828,171-1111
20201101,467008,1603,170-1111
20201101,437011,8789,171-1111
20201101,827032,1873,170-1111
20201101,237029,1596,170-1111
20201101,237028,1600,170-1111
20201101,27036,1571,170-1111
20201101,457031,8798,171-1111
20201101,17037,1575,170-1111
20201101,37038,8713,171-1111
20201101,207022,8737,171-1111
20201101,207021,8727,171-1111
20201101,707022,1782,170-1111
20201101,17038,1569,170-1111
20201101,37040,8714,171-1111
20201101,457032,8812,171-1111
20201101,447008,8817,171-1111
20201101,147027,8872,171-1111
20201101,407034,8721,171-1111
20201101,427034,8808,171-1111
20201101,107032,1696,170-1111
20201101,37037,8708,171-1111
20201101,437012,8789,171-1111
20201101,427029,8807,171-1111
20201101,707019,1772,170-1111
20201101,107031,1701,170-1111
20201101,217022,8803,171-1111
20201101,797011,8814,171-1111
20201101,227031,8847,171-1111
20201101,117031,8856,171-1111
20201101,287021,8796,171-1111
20201101,727010,1633,170-1111
20201101,127032,8770,171-1111
20201101,227032,8829,171-1111
20201101,407027,8735,171-1111
20201101,827035,1873,170-1111
20201101,147029,8854,171-1111
20201101,137022,8865,171-1111
20201101,787005,1636,170-1111
20201101,117032,8864,171-1111
20201101,167011,1602,170-1111
20201101,417014,8806,171-1111
20201101,127031,8761,171-1111
20201101,747009,1862,170-1111
20201101,427034,8808,171-1111
20201101,257034,8722,171-1111
20201101,137021,8833,171-1111
20201101,237030,1616,170-1111
20201101,207032,8743,171-1111
20201101,457033,8816,171-1111
20201101,17039,1561,170-1111
20201101,237031,1617,170-1111
20201101,207024,8743,171-1111
20201101,167012,2162,170-1111
20201101,27038,1535,170-1111
20201101,147036,8826,171-1111
20201101,257031,8740,171-1111
20201101,427036,8807,171-1111
20201101,107033,1702,170-1111
20201101,37039,8705,171-1111
20201101,457034,8798,171-1111
20201101,17040,1553,170-1111
20201101,757004,1638,170-1111
20201101,107034,1699,170-1111
20201101,417019,8806,171-1111
20201101,427031,8808,171-1111
20201101,227033,8837,171-1111
20201101,117034,8836,171-1111
20201101,117033,8866,171-1111
20201101,27041,1565,170-1111
20201101,407029,8721,171-1111
20201101,127034,8767,171-1111
20201101,27043,1549,170-1111
20201101,447011,8817,171-1111
20201101,207023,8742,171-1111
20201101,127033,8764,171-1111
20201101,407036,8735,171-1111
20201101,147031,8828,171-1111
20201101,727013,1633,170-1111
20201101,257036,8736,171-1111
20201101,467013,1603,170-1111
20201101,777006,1626,170-1111
20201101,227034,8841,171-1111
20201101,17042,1570,170-1111
20201101,17041,1577,170-1111
20201101,237033,1600,170-1111
20201101,437013,8789,171-1111
20201101,707024,1776,170-1111
20201101,17043,1557,170-1111
20201101,217023,8803,171-1111
20201101,457035,8813,171-1111
20201101,287024,8796,171-1111
20201101,237032,1596,170-1111
20201101,27040,1573,170-1111
20201101,117035,8869,171-1111
20201101,147038,8868,171-1111
20201101,37042,8707,171-1111
20201101,137024,8838,171-1111
20201101,257033,8744,171-1111
20201101,407038,8721,171-1111
20201101,107035,1703,170-1111
20201101,37041,8713,171-1111
20201101,417016,8806,171-1111
20201101,747012,1862,170-1111
20201101,457036,8816,171-1111
20201101,437014,8789,171-1111
20201101,107036,1700,170-1111
20201101,707021,1778,170-1111
20201101,797010,8815,171-1111
20201101,227035,8827,171-1111
20201101,137023,8865,171-1111
20201101,427035,8807,171-1111
20201101,127036,8762,171-1111
20201101,147040,8872,171-1111
20201101,227036,8847,171-1111
20201101,407031,8735,171-1111
20201101,117036,8830,171-1111
20201101,17044,1575,170-1111
20201101,427038,8808,171-1111
20201101,427033,8811,171-1111
20201101,17043,1548,170-1111
20201101,267016,8810,171-1111
20201101,257035,8722,171-1111
20201101,427038,8808,171-1111
20201101,207026,8727,171-1111
20201101,127035,8770,171-1111
20201101,27042,1534,170-1111
20201101,257038,8724,171-1111
20201101,237035,1616,170-1111
20201101,827040,1873,170-1111
20201101,37043,8714,171-1111
20201101,457037,8798,171-1111
20201101,237034,1617,170-1111
