PointRef,Latitude,Longitude
16011661,63.38385333,10.57202333
16011663,63.38357000,10.59159833
16011676,63.33441500,10.35126833
16011693,63.41249000,10.15560333
16011695,63.40020000,10.16330833
16011710,63.41076833,10.38156500
16011712,63.42355000,10.37325500
16011729,63.42706667,10.15022833
16011744,63.36334333,10.19244667
16011746,63.34048833,10.33826833
16011761,63.34392833,10.46335833
16011763,63.34491333,10.46907667
16011776,63.41479833,10.27491000
16011778,63.39399500,10.43861333
16011780,63.40597333,10.41777333
16011793,63.34738667,10.47878500
16011810,63.33305667,10.36212167
16011827,63.30041833,10.48500333
16533006,63.27850167,10.28096667
16533021,63.17067850,10.31485567
16533023,63.16031333,10.29831667
16533040,63.26777667,10.23479667
16533172,63.20000833,10.34542500
16533174,63.20986333,10.36597000
16533189,63.28095000,10.26475833
16538203,63.28153167,10.26207167
16538220,63.28602000,10.29657500
16538503,63.29703667,10.28452333
16538505,63.28672333,10.27623833
16626011,63.32499333,10.50813000
16626013,63.32037000,10.50165000
16626028,63.30696167,10.43236167
16626030,63.31332167,10.42972333
16626043,63.24686667,10.48228500
16626045,63.25344000,10.50203833
16626060,63.27548667,10.43741500
16626062,63.24514500,10.43020000
16627013,63.32165333,10.50692333
16627015,63.31779167,10.48051667
16627030,63.31733833,10.39850667
16627032,63.29964000,10.43756833
16627047,63.25701000,10.51462167
16627049,63.26567167,10.53056833
16627064,63.23973667,10.43153000
16632010,63.43554667,10.67499833
16632012,63.43194833,10.70530833
16632027,63.42081667,10.81060833
16632029,63.43169500,10.83414667
16632063,63.34013000,10.79431000
16632076,63.38093333,10.76957333
16632078,63.36725500,10.76049500
16632093,63.40196333,10.40132667
16632095,63.40475000,10.79246833
16638311,63.43547500,10.67539667
16010022,63.33302833,10.36207333
16010039,63.33308500,10.36932333
16010041,63.44077667,10.46519833
16010058,63.43946000,10.34782500
16010073,63.41281667,10.44587000
16010088,55.78954333,25.52255833
16010090,63.43338167,10.45548000
16010092,63.43543500,10.45727333
16010105,63.33301667,10.36210833
16010122,63.42192833,10.53011500
16010124,63.44190167,10.46367167
16010139,63.37627167,10.33886667
16010141,63.41333000,10.44475667
16010156,63.42505833,10.53353000
16010175,63.40840667,10.40056167
16010190,63.41481333,10.49290500
16010192,63.38755500,10.35204833
16010205,63.40417000,10.35838333
16010207,63.40045667,10.40307167
16010209,63.35104833,10.33911000
16010222,63.39850833,10.40877833
16010224,63.35387833,10.34125500
16010258,63.43583167,10.41769167
16010273,63.33285667,10.36680667
16010290,63.42096667,10.43825000
16010292,63.35360500,10.36660667
16010307,63.35771167,10.39951167
16010326,63.33232500,10.36832500
16010339,63.36822667,10.39652500
16010341,63.39310500,10.42506000
16010373,63.42269667,10.52385167
16010390,63.40223500,10.40107833
16010426,63.41613333,10.48607833
16010441,63.35582667,10.36731833
16010458,63.40387000,10.40493333
16010473,63.39555833,10.44080667
16010475,63.42775000,10.45865167
16010492,63.37016500,10.37828667
16010507,63.36610667,10.38208333
16010524,63.29999500,10.28495500
16010526,63.32191167,10.30880667
16010543,63.33271833,10.36748500
16010558,63.40274500,10.40850667
16010575,63.41090333,10.45317667
16010607,63.35155500,10.44052667
16010609,63.34414833,10.45995000
16010626,63.38355833,10.40380000
16010641,63.32504167,10.37066167
16010643,63.39530667,10.42462167
16010658,63.38793000,10.56462500
16010660,63.38385667,10.57212000
16010673,63.33895667,10.35324333
16010675,63.33497333,10.35571167
16010690,63.42646667,10.15761500
16010692,63.40820167,10.16044833
16010707,63.39798167,10.36164500
16010709,63.39989667,10.37663167
16010726,63.43952667,10.17128667
16010741,63.35361500,10.21451333
16010743,63.36246000,10.19281833
16010758,63.34769333,10.16967667
16010760,63.34660667,10.47807333
16010775,63.41503167,10.27685333
16010777,63.39548833,10.38531500
16010790,63.43291833,10.57404167
16010824,63.32974167,10.35905833
16010907,63.39939500,10.35820000
16011011,63.39531667,10.35696333
16011026,63.41461833,10.39838667
16011041,63.44135667,10.46471833
16011043,63.39393167,10.36996500
